1)
Procesos del usuario con el coamdno ps -fu mauriayllon

UID         PID   PPID  C STIME TTY          TIME CMD
root        160      2  0 Feb12 ?        00:00:00 [irq/55-pciehp]
root        161      2  0 Feb12 ?        00:00:00 [acpi_thermal_pm]
root        162      2  0 Feb12 ?        00:00:00 [scsi_eh_0]
root        163      2  0 Feb12 ?        00:00:00 [scsi_tmf_0]
root        164      2  0 Feb12 ?        00:00:00 [scsi_eh_1]
root        165      2  0 Feb12 ?        00:00:00 [scsi_tmf_1]
root        168      2  0 Feb12 ?        00:00:00 [ipv6_addrconf]
root        180      2  0 Feb12 ?        00:00:00 [kstrp]
root        199      2  0 Feb12 ?        00:00:00 [charger_manager]
root        255      2  0 Feb12 ?        00:00:00 [mpt_poll_0]
root        256      2  0 Feb12 ?        00:00:00 [scsi_eh_2]
root        257      2  0 Feb12 ?        00:00:00 [mpt/0]
root        258      2  0 Feb12 ?        00:00:00 [scsi_tmf_2]
root        259      2  0 Feb12 ?        00:00:00 [scsi_eh_3]
root        260      2  0 Feb12 ?        00:00:00 [scsi_tmf_3]
root        261      2  0 Feb12 ?        00:00:00 [scsi_eh_4]
root        262      2  0 Feb12 ?        00:00:00 [scsi_tmf_4]
root        263      2  0 Feb12 ?        00:00:00 [scsi_eh_5]
root        264      2  0 Feb12 ?        00:00:00 [scsi_tmf_5]
root        265      2  0 Feb12 ?        00:00:00 [scsi_eh_6]
root        266      2  0 Feb12 ?        00:00:00 [scsi_tmf_6]
root        267      2  0 Feb12 ?        00:00:00 [scsi_eh_7]
root        268      2  0 Feb12 ?        00:00:00 [scsi_tmf_7]
root        269      2  0 Feb12 ?        00:00:00 [scsi_eh_8]
root        270      2  0 Feb12 ?        00:00:00 [scsi_tmf_8]
root        271      2  0 Feb12 ?        00:00:00 [scsi_eh_9]
root        272      2  0 Feb12 ?        00:00:00 [scsi_tmf_9]
root        273      2  0 Feb12 ?        00:00:00 [scsi_eh_10]
root        274      2  0 Feb12 ?        00:00:00 [scsi_tmf_10]
root        275      2  0 Feb12 ?        00:00:00 [scsi_eh_11]
root        276      2  0 Feb12 ?        00:00:00 [scsi_tmf_11]
root        277      2  0 Feb12 ?        00:00:00 [scsi_eh_12]
root        278      2  0 Feb12 ?        00:00:00 [scsi_tmf_12]
root        279      2  0 Feb12 ?        00:00:00 [scsi_eh_13]
root        280      2  0 Feb12 ?        00:00:00 [scsi_tmf_13]
root        281      2  0 Feb12 ?        00:00:00 [scsi_eh_14]
root        282      2  0 Feb12 ?        00:00:00 [scsi_tmf_14]
root        283      2  0 Feb12 ?        00:00:00 [scsi_eh_15]
root        284      2  0 Feb12 ?        00:00:00 [scsi_tmf_15]
root        285      2  0 Feb12 ?        00:00:00 [scsi_eh_16]
root        286      2  0 Feb12 ?        00:00:00 [scsi_tmf_16]
root        287      2  0 Feb12 ?        00:00:00 [scsi_eh_17]
root        288      2  0 Feb12 ?        00:00:00 [scsi_tmf_17]
root        289      2  0 Feb12 ?        00:00:00 [scsi_eh_18]
root        290      2  0 Feb12 ?        00:00:00 [scsi_tmf_18]
root        291      2  0 Feb12 ?        00:00:00 [scsi_eh_19]
root        292      2  0 Feb12 ?        00:00:00 [scsi_tmf_19]
root        293      2  0 Feb12 ?        00:00:00 [scsi_eh_20]
root        294      2  0 Feb12 ?        00:00:00 [scsi_tmf_20]
root        295      2  0 Feb12 ?        00:00:00 [scsi_eh_21]
root        296      2  0 Feb12 ?        00:00:00 [scsi_tmf_21]
root        297      2  0 Feb12 ?        00:00:00 [scsi_eh_22]
root        298      2  0 Feb12 ?        00:00:00 [scsi_tmf_22]
root        299      2  0 Feb12 ?        00:00:00 [scsi_eh_23]
root        300      2  0 Feb12 ?        00:00:00 [scsi_tmf_23]
root        301      2  0 Feb12 ?        00:00:00 [scsi_eh_24]
root        302      2  0 Feb12 ?        00:00:00 [scsi_tmf_24]
root        303      2  0 Feb12 ?        00:00:00 [scsi_eh_25]
root        304      2  0 Feb12 ?        00:00:00 [scsi_tmf_25]
root        305      2  0 Feb12 ?        00:00:00 [scsi_eh_26]
root        306      2  0 Feb12 ?        00:00:00 [scsi_tmf_26]
root        307      2  0 Feb12 ?        00:00:00 [scsi_eh_27]
root        308      2  0 Feb12 ?        00:00:00 [scsi_tmf_27]
root        309      2  0 Feb12 ?        00:00:00 [scsi_eh_28]
root        310      2  0 Feb12 ?        00:00:00 [scsi_tmf_28]
root        311      2  0 Feb12 ?        00:00:00 [scsi_eh_29]
root        312      2  0 Feb12 ?        00:00:00 [scsi_tmf_29]
root        313      2  0 Feb12 ?        00:00:00 [scsi_eh_30]
root        314      2  0 Feb12 ?        00:00:00 [scsi_tmf_30]
root        315      2  0 Feb12 ?        00:00:00 [scsi_eh_31]
root        316      2  0 Feb12 ?        00:00:00 [scsi_tmf_31]
root        331      2  0 Feb12 ?        00:00:00 [scsi_eh_32]
root        336      2  0 Feb12 ?        00:00:00 [scsi_tmf_32]
root        347      2  0 Feb12 ?        00:00:12 [kworker/0:1H-kb]
root        372      2  0 Feb12 ?        00:00:04 [jbd2/sda1-8]
